PassengerId,Survived,Pclass,Gender,Age,Fare,Embarked,FamilySize
205,0,3,male,36.0,0.0,S,0
572,0,3,female,,69.55,S,10
528,0,2,male,,15.05,C,0
25,0,3,male,9.0,31.3875,S,6
232,1,2,male,1.0,39.0,S,3
175,1,3,female,4.0,22.025,S,2
634,0,1,male,,50.0,S,0
297,1,3,female,,15.5,Q,1
301,1,1,male,45.0,26.55,S,0
111,0,3,male,40.0,15.5,Q,2
83,0,3,male,36.0,7.8958,S,0
52,1,2,female,32.0,13.0,S,0
290,0,2,male,19.0,13.0,S,0
573,1,2,male,3.0,26.0,S,2
474,1,1,female,44.0,27.7208,C,0
410,1,1,female,58.0,146.5208,C,0
251,0,3,male,42.0,8.4042,S,1
590,0,2,female,24.0,13.0,S,0
257,0,3,male,28.0,9.5,S,0
19,0,3,male,,69.55,S,10
335,0,3,male,34.0,6.4958,S,0
667,0,3,male,45.5,7.225,C,0
451,0,3,female,2.0,10.4625,S,1
236,0,3,male,32.0,15.85,S,1
62,1,3,male,26.0,18.7875,C,0
389,0,3,male,22.0,7.25,S,0
435,0,3,male,,7.75,Q,1
30,1,3,female,27.0,7.925,S,0
200,0,2,male,42.0,27.0,S,1
358,0,2,male,30.0,10.5,S,0
261,1,3,male,16.0,8.05,S,0
568,0,2,male,27.0,13.0,S,0
708,0,3,male,51.0,8.05,S,0
214,0,3,male,,7.8958,S,0
649,1,1,male,38.0,90.0,S,1
361,0,3,male,22.0,9.35,S,0
519,1,2,male,19.0,10.5,S,0
249,0,2,male,18.0,13.0,S,0
345,0,3,female,,25.4667,S,4
382,1,1,female,35.0,83.475,S,1
177,0,2,male,59.0,13.5,S,0
235,1,3,female,5.0,31.3875,S,6
538,0,2,male,24.0,10.5,S,0
378,0,2,male,44.0,26.0,S,1
372,1,2,female,8.0,26.25,S,2
669,0,2,male,19.0,10.5,S,0
164,0,2,male,33.0,12.275,S,0
481,0,3,female,,14.4542,C,1
626,1,3,female,,15.5,Q,1
686,0,2,male,29.0,10.5,S,0
364,0,3,male,22.0,7.125,S,0
293,0,1,male,44.0,90.0,Q,2
486,0,3,female,25.0,7.775,S,0
429,1,2,female,24.0,14.5,S,2
105,1,1,male,37.0,52.5542,S,2
115,0,2,male,54.0,26.0,S,1
641,0,3,female,29.0,10.4625,S,2
440,0,1,male,62.0,26.55,S,0
640,0,3,male,30.0,16.1,S,1
276,1,3,female,29.0,15.2458,C,2
93,1,1,female,,79.2,C,0
8,1,1,female,30.0,86.5,S,0
90,1,1,female,35.0,512.3292,C,0
542,1,2,female,50.0,26.0,S,1
427,0,3,male,,7.75,Q,0
535,1,3,male,3.0,31.3875,S,6
394,0,1,male,52.0,79.65,S,2
383,0,1,male,40.0,0.0,S,0
224,0,3,female,,7.75,Q,0
141,0,2,male,36.0,10.5,S,0
29,1,3,male,25.0,7.775,S,1
44,1,1,female,58.0,153.4625,S,1
43,1,1,female,35.0,135.6333,S,0
74,0,1,male,,31.0,S,0
168,1,3,male,25.0,0.0,S,0
491,1,2,female,41.0,19.5,S,1
624,0,1,male,37.0,29.7,C,1
67,1,3,female,,7.75,Q,0
12,0,3,female,45.0,7.75,S,0
320,0,2,male,,0.0,S,0
581,0,3,male,7.0,29.125,Q,5
179,1,3,female,35.0,20.25,S,2
282,0,3,male,16.0,9.5,S,0
650,1,3,male,19.0,8.05,S,0
425,0,1,male,,26.0,S,0
307,0,3,male,33.0,8.6625,C,0
549,0,3,male,22.0,7.8958,S,0
178,1,2,male,42.0,13.0,S,0
692,1,3,female,22.0,7.75,Q,0
466,0,3,female,24.0,8.85,S,0
84,0,1,male,,27.7208,C,0
219,0,1,female,2.0,151.55,S,3
681,1,1,male,,30.5,S,0
553,1,3,male,,23.25,Q,2
413,0,3,male,19.0,0.0,S,0
482,1,2,female,,12.35,Q,0
80,0,3,male,,8.05,S,0
24,1,1,male,0.9167,151.55,S,3
16,1,1,female,17.0,108.9,C,1
447,0,2,male,30.0,24.0,C,1
583,1,1,female,24.0,83.1583,C,0
337,0,3,male,28.0,7.8958,S,0
291,0,2,male,43.0,26.25,S,2
712,1,3,female,26.0,7.8542,S,0
332,1,2,female,24.0,26.0,S,1
432,0,2,male,54.0,14.0,S,0
260,1,1,female,31.0,164.8667,S,2
138,0,3,male,22.0,7.25,S,0
423,1,2,female,30.0,12.35,Q,0
324,0,3,male,,69.55,S,10
34,1,1,female,36.0,135.6333,C,0
319,0,3,male,61.0,6.2375,S,0
355,1,3,female,31.0,20.525,S,2
10,1,1,female,16.0,57.9792,C,1
250,1,3,female,,23.25,Q,2
23,0,1,male,45.5,28.5,S,0
222,0,1,male,38.0,153.4625,S,1
644,1,1,female,,133.65,S,1
698,0,3,male,,7.8958,S,0
353,0,1,male,29.0,66.6,S,1
596,1,1,female,41.0,134.5,C,0
204,0,1,male,45.0,35.5,S,0
457,1,2,male,2.0,26.0,S,2
94,1,1,female,24.0,263.0,S,5
311,0,2,male,25.0,13.0,S,0
533,1,2,female,24.0,13.0,S,0
396,1,2,female,40.0,13.0,S,0
185,1,3,female,,16.1,S,1
588,1,3,male,3.0,15.9,S,2
694,0,3,male,42.0,8.6625,S,0
154,0,1,male,,35.0,S,0
76,0,3,male,15.0,7.2292,C,2
351,0,3,male,25.0,17.8,S,1
278,0,3,male,,7.225,C,0
69,0,3,male,28.0,9.5,S,0
400,1,1,female,22.0,55.0,S,1
189,1,3,female,,7.8792,Q,0
272,0,2,male,29.0,27.7208,C,1
237,0,3,male,,15.5,Q,1
89,0,3,male,30.0,7.25,S,0
604,1,1,female,60.0,75.25,C,1
118,1,3,female,,7.2292,C,0
126,1,3,female,,7.75,Q,0
585,1,1,female,24.0,69.3,C,0
239,1,1,male,25.0,55.4417,C,1
1,0,3,male,18.0,6.4958,S,1
705,0,3,male,19.0,8.05,S,0
356,0,1,male,22.0,135.6333,C,0
500,0,3,female,3.0,21.075,S,4
406,1,3,female,22.0,7.25,S,0
279,0,1,male,27.0,211.5,C,2
117,0,3,male,20.0,4.0125,C,0
229,0,3,male,19.0,7.775,S,0
518,1,1,female,42.0,227.525,C,0
444,1,3,female,1.0,15.7417,C,2
275,0,3,male,32.0,7.925,S,0
517,1,1,female,35.0,52.0,S,1
145,0,3,male,,7.8958,S,0
515,0,2,male,18.0,73.5,S,0
395,0,3,male,1.0,46.9,S,7
645,1,2,female,36.0,13.0,S,0
520,1,2,female,17.0,12.0,C,0
269,1,1,male,36.0,120.0,S,3
487,1,3,male,21.0,7.7958,S,0
508,0,3,male,28.0,7.925,S,2
47,1,1,female,23.0,113.275,C,1
262,1,3,female,24.0,16.7,S,2
196,0,3,male,22.0,7.7958,S,0
713,0,2,male,46.0,26.0,S,0
597,1,2,female,28.0,12.65,S,0
108,1,3,male,39.0,7.925,S,0
484,0,3,male,26.0,8.05,S,0
534,0,3,female,21.0,9.825,S,1
341,0,3,male,28.0,15.85,S,1
101,0,3,female,20.0,8.6625,S,0
370,0,2,male,34.0,21.0,S,1
638,0,3,male,51.0,7.75,S,0
546,1,2,male,3.0,18.75,S,2
180,0,3,female,,25.4667,S,4
305,0,3,male,,7.8958,S,0
483,0,3,male,,6.8583,Q,0
685,1,1,female,33.0,90.0,Q,1
150,0,2,male,,0.0,S,0
125,1,3,male,44.0,7.925,S,0
660,0,3,female,,8.05,S,0
619,0,2,male,30.0,13.0,S,0
186,0,3,female,10.0,24.15,S,2
449,0,3,male,,7.8958,C,0
628,0,3,male,21.0,7.7333,Q,0
703,0,3,female,28.0,14.4,S,2
363,0,3,male,18.0,20.2125,S,2
322,0,3,male,,7.25,S,0
658,1,2,female,19.0,26.0,S,0
143,0,3,male,,7.75,Q,0
142,1,3,male,32.0,8.05,S,0
691,1,1,male,28.0,26.55,S,0
321,1,3,female,,16.1,S,1
20,1,2,female,42.0,26.0,S,1
173,0,1,male,50.0,55.9,S,1
579,1,1,female,14.0,120.0,S,3
313,0,3,female,21.0,34.375,S,4
697,1,2,female,24.0,18.75,S,5
13,0,1,male,64.0,263.0,S,5
306,1,2,female,45.0,26.25,S,2
26,0,3,male,20.0,9.5,S,0
532,1,2,female,28.0,13.0,S,0
170,1,3,male,,8.1125,S,0
595,1,1,male,4.0,81.8583,S,2
673,1,1,male,52.0,30.5,S,0
246,0,2,male,36.0,27.75,S,3
299,0,3,male,,19.9667,S,1
656,0,1,male,30.0,27.75,C,0
273,1,1,male,49.0,89.1042,C,1
155,0,3,male,,8.05,S,0
127,1,3,male,29.0,7.8958,C,0
494,0,1,male,65.0,26.55,S,0
342,1,2,female,50.0,10.5,S,0
288,0,3,male,,7.75,Q,0
114,1,1,male,48.0,26.55,S,0
544,0,3,male,34.0,8.05,S,0
174,0,2,male,48.0,13.0,S,0
501,0,3,male,,8.05,S,0
458,0,2,male,,0.0,S,0
58,0,1,male,56.0,26.55,S,0
465,0,3,male,,7.725,Q,0
223,1,3,female,0.75,19.2583,C,3
281,0,3,male,,7.25,S,0
18,0,3,male,38.0,8.6625,S,0
426,1,2,female,33.0,27.75,S,3
323,1,2,female,23.0,13.7917,C,0
256,0,3,female,22.0,9.8375,S,0
438,0,1,male,,52.0,S,0
683,0,2,male,34.0,21.0,S,1
191,0,3,male,22.0,7.5208,S,0
589,1,3,female,2.0,12.2875,S,1
630,0,3,male,9.0,46.9,S,7
391,0,3,male,50.0,8.05,S,0
95,1,3,female,63.0,9.5875,S,0
181,1,1,male,25.0,91.0792,C,1
302,1,1,female,35.0,90.0,S,1
448,0,1,male,58.0,29.7,C,0
578,0,3,male,30.0,8.05,S,0
498,1,3,male,9.0,15.9,S,2
496,0,3,male,,19.9667,S,1
629,0,3,male,21.0,7.25,S,0
450,0,1,male,55.0,30.5,S,0
6,0,3,male,,14.4583,C,0
699,1,1,female,54.0,78.2667,C,1
46,0,3,male,,15.1,S,0
614,0,1,female,25.0,151.55,S,3
539,0,3,male,24.0,7.7958,S,0
172,0,3,male,17.0,8.6625,S,0
17,0,3,female,21.0,7.75,Q,0
49,0,3,female,,7.6292,Q,0
689,0,3,female,37.0,9.5875,S,0
653,1,1,female,16.0,86.5,S,0
4,0,1,male,18.0,108.9,C,1
471,1,2,female,33.0,26.0,S,2
433,0,3,male,28.0,22.525,S,0
317,1,3,male,26.0,56.4958,S,0
657,1,3,male,29.0,7.75,Q,0
284,0,3,male,,8.05,S,0
97,1,1,female,54.0,59.4,C,1
286,0,1,male,47.0,34.0208,S,0
495,1,2,female,34.0,10.5,S,0
226,0,3,male,,24.15,Q,0
27,0,3,male,32.0,7.8958,S,0
682,1,1,female,30.0,93.5,S,0
264,0,3,male,,7.225,C,0
51,1,1,female,44.0,57.9792,C,1
365,0,3,male,,7.2292,C,0
230,0,3,male,40.5,7.75,Q,0
38,1,2,female,50.0,10.5,S,0
158,0,3,male,39.0,7.925,S,0
238,1,2,female,2.0,26.0,S,2
684,0,3,male,,7.2292,C,0
375,1,3,female,,22.3583,C,2
371,0,3,female,30.0,8.6625,S,0
176,1,2,female,7.0,26.25,S,2
605,0,1,male,45.0,26.55,S,0
504,1,1,female,30.0,106.425,C,0
527,1,1,female,36.0,71.0,S,2
195,0,3,female,11.0,31.275,S,6
607,1,2,male,32.0,26.0,S,1
706,0,1,male,50.0,106.425,C,1
446,1,2,female,19.0,26.0,S,1
704,1,2,male,,13.8625,C,0
470,0,3,male,33.0,20.525,S,2
688,1,2,male,8.0,36.75,S,2
594,1,1,male,17.0,110.8833,C,2
613,0,2,male,27.0,26.0,S,0
68,0,3,male,,7.8292,Q,0
463,1,3,male,22.0,7.225,C,0
169,1,3,female,22.0,7.775,S,0
469,0,1,male,62.0,26.55,S,0
163,1,1,female,48.0,39.6,C,1
310,0,1,male,,227.525,C,0
194,1,1,female,39.0,79.65,S,2
502,1,3,female,36.0,17.4,S,1
366,0,3,male,,7.75,Q,0
384,0,3,male,40.0,7.8958,S,0
643,0,2,male,28.0,13.5,S,0
516,0,3,male,,8.05,S,0
153,0,3,female,,8.05,S,0
552,0,3,male,24.0,24.15,S,2
584,0,3,male,19.0,7.8958,S,0
227,0,3,female,29.0,21.075,S,4
479,0,3,male,,7.2292,C,0
571,1,3,male,32.0,7.8542,S,0
104,1,2,male,62.0,10.5,S,0
422,1,1,female,53.0,51.4792,S,2
420,1,3,female,,7.75,Q,0
558,0,3,male,16.0,8.05,S,0
580,0,3,male,19.0,14.5,S,0
75,1,2,female,34.0,13.0,S,0
116,1,1,female,39.0,55.9,S,1
408,1,3,male,32.0,7.925,S,0
687,1,2,female,25.0,30.0,S,2
120,1,1,female,39.0,110.8833,C,2
54,0,2,male,54.0,26.0,S,0
152,0,1,male,36.0,40.125,C,0
404,0,2,male,47.0,15.0,S,0
672,1,1,male,60.0,79.2,C,2
208,0,3,male,22.0,8.05,S,0
480,0,3,male,,8.05,S,0
512,0,3,male,47.0,7.25,S,0
611,0,3,female,,7.75,Q,2
551,0,3,male,36.0,24.15,S,2
9,1,2,female,,33.0,S,0
577,0,3,male,49.0,0.0,S,0
37,0,3,male,,7.225,C,0
453,1,2,female,24.0,27.0,S,3
140,0,3,male,,7.8958,S,0
254,0,1,male,,42.4,S,0
304,0,3,male,44.0,8.05,S,0
537,0,3,male,30.0,7.8958,S,0
540,1,1,male,27.0,30.5,S,0
369,1,2,female,22.0,41.5792,C,3
60,1,1,female,40.0,153.4625,S,0
112,0,3,female,39.0,31.275,S,6
514,1,3,female,,15.5,Q,1
522,0,3,male,,7.75,Q,0
635,0,3,male,35.0,8.05,S,0
263,1,2,female,24.0,65.0,S,3
600,0,3,male,34.0,14.4,S,2
298,0,3,female,26.0,16.1,S,1
478,1,2,female,4.0,39.0,S,3
415,0,2,male,26.0,10.5,S,0
151,1,3,male,20.0,15.7417,C,2
434,0,3,male,21.0,7.8542,S,0
675,0,3,male,21.0,16.1,S,0
441,0,2,male,57.0,12.35,Q,0
678,1,1,female,21.0,77.9583,S,0
267,0,3,male,26.0,7.8958,S,0
621,0,3,male,,7.7333,Q,0
360,1,1,male,80.0,30.0,S,0
633,0,3,male,51.0,7.0542,S,0
39,1,1,male,32.0,30.5,C,0
128,0,1,male,,0.0,S,0
424,0,3,female,9.0,27.9,S,5
417,1,2,female,28.0,13.0,S,0
489,0,3,male,32.0,7.925,S,0
308,0,2,male,31.0,26.25,S,2
199,0,3,female,41.0,39.6875,S,5
352,0,3,male,,16.1,S,1
148,0,3,male,20.0,7.8542,S,0
147,1,1,female,24.0,69.3,C,0
523,0,3,female,2.0,27.9,S,5
661,1,3,female,0.75,19.2583,C,3
536,1,1,male,48.0,76.7292,C,1
349,0,3,male,19.0,7.8958,S,0
464,1,1,male,56.0,35.5,C,0
326,0,3,male,,7.55,S,0
187,1,3,female,23.0,7.55,S,0
124,0,3,male,,7.8958,S,0
606,1,2,female,18.0,23.0,S,1
144,0,3,female,18.0,6.75,Q,0
679,0,2,male,24.0,73.5,S,2
198,0,3,male,,7.8958,S,0
280,0,2,male,23.0,13.0,S,0
294,1,1,male,50.0,133.65,S,2
401,0,3,male,40.0,7.225,C,0
123,0,1,male,47.0,25.5875,S,0
184,0,3,male,36.0,7.4958,S,0
203,1,3,male,20.0,7.925,S,1
439,0,2,male,32.0,73.5,S,2
247,0,2,male,25.0,13.0,S,0
416,0,3,male,,7.775,S,0
632,0,1,male,31.0,52.0,S,1
130,0,2,male,70.0,10.5,S,0
403,0,2,male,,0.0,S,0
676,0,3,male,18.0,7.775,S,0
555,0,3,male,24.5,8.05,S,0
220,1,3,female,18.0,9.8417,S,0
648,0,3,female,43.0,46.9,S,7
543,1,1,male,36.0,512.3292,C,1
651,0,3,female,,8.1375,Q,0
550,1,1,male,27.0,76.7292,C,0
387,0,3,male,14.0,46.9,S,7
690,0,2,male,60.0,39.0,S,2
510,0,2,male,25.0,41.5792,C,3
268,0,3,male,14.0,39.6875,S,5
442,0,3,male,19.0,10.1708,S,0
497,1,1,female,15.0,211.3375,S,1
113,1,1,male,31.0,57.0,S,1
233,1,3,female,4.0,13.4167,C,1
620,1,3,male,,56.4958,S,0
374,0,3,male,25.0,7.225,C,0
234,0,1,male,60.0,26.55,S,0
586,0,2,male,52.0,13.5,S,0
318,1,3,female,,7.7333,Q,0
411,0,1,male,49.0,110.8833,C,2
637,0,3,male,42.0,7.65,S,0
359,1,1,female,18.0,227.525,C,1
259,1,1,male,35.0,26.2875,S,0
283,0,3,female,18.0,14.4542,C,1
377,0,3,male,25.0,7.7417,Q,0
385,0,3,male,26.0,7.8542,S,1
225,0,2,male,39.0,26.0,S,0
677,1,2,female,45.0,13.5,S,0
582,1,1,male,42.0,26.2875,S,0
473,1,1,female,22.0,151.55,S,0
348,1,1,female,24.0,49.5042,C,0
506,0,1,male,,26.55,S,0
702,0,3,male,29.0,9.4833,S,0
659,0,2,male,52.0,13.0,S,0
642,0,3,male,19.0,7.65,S,0
608,1,1,female,38.0,227.525,C,0
557,1,2,female,27.0,10.5,S,0
86,0,3,male,,15.5,Q,0
243,0,3,male,33.0,7.775,S,0
160,0,3,male,17.0,7.0542,S,1
525,0,2,male,34.0,13.0,S,0
36,0,2,male,50.0,13.0,S,0
541,1,1,male,27.0,53.1,S,1
171,0,3,male,20.0,8.6625,S,0
610,1,2,female,30.0,21.0,S,3
602,1,3,female,,7.7375,Q,0
671,0,2,male,25.0,26.0,S,1
96,0,3,female,25.0,7.925,S,1
564,1,1,female,29.0,211.3375,S,0
241,0,3,male,11.0,18.7875,C,0
575,0,2,male,,0.0,S,0
461,0,2,male,23.0,13.0,S,0
554,0,2,male,23.0,13.0,S,0
625,0,3,male,28.5,16.1,S,0
207,1,1,male,35.0,512.3292,C,0
393,0,3,male,,7.8958,S,0
398,1,1,male,,30.0,S,0
603,0,1,male,36.0,78.85,S,1
218,1,1,female,21.0,262.375,C,4
5,0,3,male,24.0,16.1,S,1
636,1,3,male,31.0,7.925,S,0
547,0,1,male,70.0,71.0,S,2
99,0,3,male,16.0,20.25,S,2
574,1,2,female,30.0,13.0,S,0
407,0,1,male,19.0,53.1,S,1
503,0,3,male,31.0,7.75,Q,0
48,1,2,female,4.0,23.0,S,2
33,1,3,male,6.0,12.475,S,1
201,0,3,male,33.0,9.5,S,0
135,0,3,male,23.0,7.8958,S,0
28,1,2,female,48.0,65.0,S,3
627,1,2,male,0.6667,14.5,S,2
231,0,3,male,28.0,7.7958,S,0
490,0,2,male,18.0,11.5,S,0
379,0,3,male,34.0,8.05,S,0
289,1,1,female,33.0,86.5,S,0
419,0,3,male,,14.5,S,0
392,0,3,male,41.0,7.125,S,0
593,1,3,male,20.0,7.2292,C,0
499,1,1,female,36.0,120.0,S,3
139,0,3,male,16.0,7.775,S,0
63,1,1,female,51.0,77.9583,S,1
472,0,1,male,,39.6,C,0
129,0,3,male,,24.15,Q,1
693,0,3,male,32.0,8.3625,S,0
521,0,3,male,24.0,9.5,S,0
65,0,3,male,48.0,7.8542,S,0
15,1,2,female,54.0,23.0,S,4
157,0,3,male,18.0,7.75,S,0
41,0,3,male,,7.75,Q,0
493,1,1,female,43.0,211.3375,S,1
380,1,3,female,13.0,7.2292,C,0
188,1,1,female,17.0,57.0,S,1
217,0,1,male,29.0,30.0,S,0
53,0,3,male,,23.45,S,3
338,0,3,male,25.0,7.05,S,0
296,1,3,female,18.0,7.4958,S,0
252,0,3,male,8.0,29.125,Q,5
462,1,3,male,1.0,20.575,S,3
456,0,1,male,46.0,79.2,C,0
711,0,2,male,16.0,26.0,S,0
270,0,3,female,,69.55,S,10
202,0,3,male,25.0,7.8958,S,0
162,0,2,male,39.0,13.0,S,0
556,1,3,female,31.0,8.6833,S,0
402,0,3,male,30.0,7.2292,C,0
477,0,3,female,30.0,24.15,S,2
106,0,2,male,34.0,13.0,S,0
566,1,2,female,31.0,26.25,S,2
390,1,3,male,0.4167,8.5167,C,1
2,1,3,male,27.0,6.975,S,0
666,0,3,male,31.0,7.775,S,0
562,0,1,male,39.0,0.0,S,0
81,0,3,female,18.0,7.775,S,0
206,1,1,female,33.0,53.1,S,1
35,0,3,male,26.0,7.8875,S,0
509,0,3,male,39.0,24.15,S,0
428,0,2,male,35.0,10.5,S,0
455,0,3,female,6.0,31.275,S,6
367,0,1,male,,0.0,S,0
92,0,3,female,23.0,7.925,S,0
340,0,2,male,31.0,37.0042,C,2
565,0,3,male,43.0,6.45,S,0
346,1,3,male,27.0,8.6625,S,0
242,1,3,female,27.0,12.475,S,1
14,0,3,male,2.0,39.6875,S,5
316,0,3,male,,6.95,Q,0
601,0,3,male,,56.4958,S,0
388,1,2,male,1.0,37.0042,C,2
274,1,3,male,,7.75,Q,0
167,1,1,female,62.0,80.0,,0
707,1,2,male,0.8333,18.75,S,2
647,0,3,male,,7.2292,C,0
485,0,3,male,18.0,8.3,S,0
696,0,3,male,21.0,8.6625,S,0
505,1,3,male,32.0,56.4958,S,0
244,1,1,male,,29.7,C,0
567,0,2,male,16.0,10.5,S,0
563,0,3,male,34.5,6.4375,C,0
190,0,3,male,17.0,8.6625,S,0
476,0,3,male,,69.55,S,10
511,0,3,male,35.0,7.8958,C,0
59,0,2,male,28.0,33.0,S,1
475,0,3,male,4.0,31.275,S,6
561,0,3,male,74.0,7.775,S,0
253,1,3,female,18.0,9.35,S,1
22,1,1,female,45.0,164.8667,S,2
314,1,1,male,51.0,26.55,S,0
460,1,3,female,24.0,19.2583,C,3
161,0,3,male,,7.2292,C,0
277,0,3,male,41.0,14.1083,S,2
192,0,2,male,21.0,11.5,S,1
386,1,1,female,48.0,25.9292,S,0
414,0,3,female,,69.55,S,10
492,0,2,male,24.0,13.0,S,0
344,1,2,female,42.0,13.0,S,0
309,1,2,female,27.0,13.8583,C,1
662,0,1,male,31.0,50.4958,S,0
131,0,3,male,,9.5,S,0
664,1,3,male,4.0,11.1333,S,2
100,0,3,male,26.0,7.8958,S,0
373,1,1,female,47.0,52.5542,S,2
88,0,1,male,33.0,5.0,S,0
459,0,3,male,47.0,9.0,S,0
331,1,2,female,28.0,24.0,C,1
